"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11140157 - IPI-OUTROS PRODUTOS-MULTAS DA DIVIDA ATIVA";"1.716.774,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"158125 - INSTITUTO FEDERAL CATARINENSE - REITORIA";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"154054 - FUNDACAO UNIVERS.FED. DE MATO GROSSO DO SUL";"1 - Receitas Correntes";"14 - Receita Agropecuária";"141 - Receita da produção vegetal";"14110101 - RECEITA AGROPECUARIA-PRINCIPAL";"4.500,00";"0,00";"0,00%";"0,00";
"2023";"42000 - Ministério da Cultura";"34902 - Fundo Nacional de Cultura";"540030 - FUNDO NACIONAL DA CULTURA - FNC";"1 - Receitas Correntes";"13 - Receita Patrimonial";"133 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";"13330312 - DLG.SRV.RAD.SON.IMG-NAO.P.ORBITAIS/MLT+JRS";"416,00";"0,00";"0,00%";"0,00";
"2023";"68000 - Ministério de Portos e Aeroportos";"62901 - Fundo Nacional de Aviação Civil";"110591 - FUNDO NACIONAL DE AVIACAO CIVIL";"1 - Receitas Correntes";"16 - Receita de Serviços";"162 - Serviços e Atividades Referentes à Navegação e ao Transporte";"16210421 - ADICIONAL SOBRE TARIFA AEROPORTUARIA-PRINC.";"0,00";"104,02";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26232 - Universidade Federal da Bahia";"153038 - UNIVERSIDADE FEDERAL DA BAHIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229901 - OUTRAS RESTITUICOES-PRINCIPAL";"0,00";"806,86";"0,00%";"0,00";
"2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11130341 - IRRF-OUTROS RENDIMENTOS-PRINCIPAL";"335.527.330,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26447 - Universidade Federal do Oeste da Bahia";"158717 - UNIVERSIDADE FEDERAL DO OESTE DA BAHIA - UFOB";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210101 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"164,99";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26235 - Universidade Federal de Goiás";"153052 - UNIVERSIDADE FEDERAL DE GOIAS";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26435 - Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte";"158155 - INST.FED.DE EDUC.,CIENC.E TEC.DO RN";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999921 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-PRINC.";"6.299,00";"0,00";"0,00%";"0,00";
